player_id,season,position_fine,verein,spieler,formation,kategorie
663,2025/2026,IV,B04,Andrich,3-4-2-1,4
663,2026/2027,IV,B04,Andrich,3-4-2-1,4
6174,2025/2026,AV,B04,Arthur,3-4-2-1,3
6174,2026/2027,AV,B04,Arthur,3-4-2-1,3
4563,2025/2026,IV,B04,Badé,3-4-2-1,3
4563,2026/2027,IV,B04,Badé,3-4-2-1,3
72,2025/2026,TW,B04,Flekken,3-4-2-1,1
72,2026/2027,TW,B04,Flekken,3-4-2-1,1
4199,2025/2026,ZDM,B04,García,3-4-2-1,1
4199,2026/2027,ZDM,B04,García,3-4-2-1,1
3759,2026/2027,AV,B04,Gutiérrez,3-4-2-1,2
11513,2025/2026,ST,B04,Kofane,3-4-2-1,4
11513,2026/2027,ST,B04,Kofane,3-4-2-1,4
6061,2025/2026,ZOM,B04,Maza,3-4-2-1,1
6061,2026/2027,ZOM,B04,Maza,3-4-2-1,1
15199,2026/2027,ZOM,B04,Moreira,3-4-2-1,2
2766,2025/2026,ZDM,B04,Palacios,3-4-2-1,2
2766,2026/2027,ZDM,B04,Palacios,3-4-2-1,2
11867,2025/2026,AV,B04,Poku,3-4-2-1,4
11867,2026/2027,AV,B04,Poku,3-4-2-1,4
7963,2025/2026,IV,B04,Quansah,3-4-2-1,2
7963,2026/2027,IV,B04,Quansah,3-4-2-1,2
2746,2025/2026,ST,B04,Schick,3-4-2-1,3
2746,2026/2027,ST,B04,Schick,3-4-2-1,3
2783,2025/2026,IV,B04,Tapsoba,3-4-2-1,1
2783,2026/2027,IV,B04,Tapsoba,3-4-2-1,1
13442,2025/2026,FL,BMG,Bolin,4-3-3,3
13442,2026/2027,FL,BMG,Bolin,4-3-3,3
11010,2025/2026,IV,BMG,Diks,4-3-3,1
11010,2026/2027,IV,BMG,Diks,4-3-3,1
1686,2025/2026,IV,BMG,Elvedi,4-3-3,2
1686,2026/2027,IV,BMG,Elvedi,4-3-3,2
2074,2025/2026,FL,BMG,Hack,4-3-3,3
2074,2026/2027,FL,BMG,Hack,4-3-3,3
15613,2026/2027,AV,BMG,Hashioka,4-3-3,3
4292,2026/2027,AV,BMG,Herold,4-3-3,2
6319,2025/2026,FL,BMG,Honorat,4-3-3,4
6319,2026/2027,FL,BMG,Honorat,4-3-3,4
849,2025/2026,ST,BMG,Kleindienst,4-3-3,3
849,2026/2027,ST,BMG,Kleindienst,4-3-3,3
3516,2026/2027,ZM,BMG,Leopold,4-3-3,1
9540,2026/2027,ST,BMG,Lidberg,4-3-3,4
11748,2025/2026,ZM,BMG,Mohya,4-3-3,3
11748,2026/2027,ZM,BMG,Mohya,4-3-3,3
1883,2025/2026,TW,BMG,Nicolas,4-3-3,1
1883,2026/2027,TW,BMG,Nicolas,4-3-3,1
2560,2025/2026,ZDM,BMG,Sander,4-3-3,2
2560,2026/2027,ZDM,BMG,Sander,4-3-3,2
2941,2025/2026,AV,BMG,Scally,4-3-3,4
2941,2026/2027,AV,BMG,Scally,4-3-3,4
619,2025/2026,ZM,BMG,Stöger,4-3-3,4
619,2026/2027,ZM,BMG,Stöger,4-3-3,4
1704,2025/2026,IV,BVB,Anton,3-4-2-1,1
1704,2026/2027,IV,BVB,Anton,3-4-2-1,1
2714,2025/2026,ZOM,BVB,Beier,3-4-2-1,1
2714,2026/2027,ZOM,BVB,Beier,3-4-2-1,1
11099,2025/2026,ZDM,BVB,Bellingham,3-4-2-1,3
